classroom_id,activity_day,start_time,end_time,activity_name
Seminarios DEMAT,Monday, 8:00, 9:20,No Assigned
Seminarios DEMAT,Monday, 9:30,10:50,No Assigned
Seminarios DEMAT,Monday,11:00,12:20,No Assigned
Seminarios DEMAT,Monday,12:30,13:50,No Assigned
Seminarios DEMAT,Monday,15:00,16:20,No Assigned
Seminarios DEMAT,Monday,16:30,17:50,No Assigned
Seminarios DEMAT,Tuesday, 8:00, 9:20,No Assigned
Seminarios DEMAT,Tuesday, 9:30,10:50,No Assigned
Seminarios DEMAT,Tuesday,11:00,12:20,No Assigned
Seminarios DEMAT,Tuesday,12:30,13:50,No Assigned
Seminarios DEMAT,Tuesday,15:00,16:20,No Assigned
Seminarios DEMAT,Tuesday,16:30,17:50,No Assigned
Seminarios DEMAT,Wednesday, 8:00, 9:20,No Assigned
Seminarios DEMAT,Wednesday, 9:30,10:50,No Assigned
Seminarios DEMAT,Wednesday,11:00,12:20,No Assigned
Seminarios DEMAT,Wednesday,12:30,13:50,No Assigned
Seminarios DEMAT,Wednesday,15:00,16:20,No Assigned
Seminarios DEMAT,Wednesday,16:30,17:50,No Assigned
Seminarios DEMAT,Thursday, 8:00, 9:20,No Assigned
Seminarios DEMAT,Thursday, 9:30,10:50,No Assigned
Seminarios DEMAT,Thursday,11:00,12:20,No Assigned
Seminarios DEMAT,Thursday,12:30,13:50,No Assigned
Seminarios DEMAT,Thursday,15:00,16:20,No Assigned
Seminarios DEMAT,Thursday,16:30,17:50,No Assigned
Seminarios DEMAT,Friday, 8:00, 9:20,No Assigned
Seminarios DEMAT,Friday, 9:30,10:50,No Assigned
Seminarios DEMAT,Friday,11:00,12:20,No Assigned
Seminarios DEMAT,Friday,12:30,13:50,No Assigned
Seminarios DEMAT,Friday,15:00,16:20,No Assigned
Seminarios DEMAT,Friday,16:30,17:50,No Assigned
Astrofisica,Monday, 8:00, 9:20,No Assigned
Astrofisica,Monday, 9:30,10:50,No Assigned
Astrofisica,Monday,11:00,12:20,No Assigned
Astrofisica,Monday,12:30,13:50,No Assigned
Astrofisica,Monday,15:00,16:20,No Assigned
Astrofisica,Monday,16:30,17:50,No Assigned
Astrofisica,Tuesday, 8:00, 9:20,No Assigned
Astrofisica,Tuesday, 9:30,10:50,No Assigned
Astrofisica,Tuesday,11:00,12:20,No Assigned
